symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
CLNE,Clean Energy Fuels Corp.,asset_value,1,30.61,2.38,524134656,,48.571434,0.93922657,16.097557,1536295,NasdaqGS,1784318401
PDS,Precision Drilling Corporation,asset_value,1,30.6,83.66,1082664320,,9.003971,0.93991506,69.04426,106396,NYSE,1784318402
VMO,Invesco Municipal Opportunity Trust,asset_value,1,30.41,9.81,661593152,35.035717,,0.95856947,10.224724,264148,NYSE,1784318402
MTH,Meritage Homes Corporation,cashflow_value,1,30.37,74.17,4954605056,13.534671,11.439367,0.97124374,6.032884,956803,NYSE,1784318402
PRG,"PROG Holdings, Inc.",cashflow_value,1,30.24,46.42,1859843456,11.811705,8.70511,2.401697,64.49326,530617,NYSE,1784318402
OIA,Invesco Municipal Income Opportunities Trust,asset_value,1,30.08,6.22,298136000,32.736843,,0.9917092,11.27013,116135,NYSE,1784318402
PRDO,Perdoceo Education Corporation,cashflow_value,1,30.04,31.66,1985181184,12.08397,9.479042,1.9853264,9.323204,671656,NasdaqGS,1784318400
BWLP,BW LPG Limited,cashflow_value,1,30.03,20.37,3092463616,8.558824,,1.626737,56.211662,463114,NYSE,1784318402
KE,"Kimball Electronics, Inc.",asset_value,1,30.02,23.97,576452672,22.828571,17.244604,0.99796,23.620426,185283,NasdaqGS,1784318401
SLDE,"Slide Insurance Holdings, Inc.",cashflow_value,1,29.96,20.5,2348464640,5.631868,5.8198957,2.1642737,11.413038,1380609,NasdaqGS,1784318400
VNT,Vontier Corporation,cashflow_value,1,29.68,30.35,4273280000,10.724382,8.184917,3.397515,-20.29937,1896850,NYSE,1784318402
APAM,Artisan Partners Asset Management Inc.,cashflow_value,1,29.41,38.51,2733950208,9.6516285,9.532178,7.027372,-14.913834,810043,NYSE,1784318403
PLX,"Protalix BioTherapeutics, Inc.",cashflow_value,1,29.34,2.38,191760512,12.526317,3.8387098,2.853717,56.578945,722256,NYSE American,1784318400
DRD,DRDGOLD Limited,cashflow_value,1,29.16,19.9,1726121344,12.6751585,29.264706,2.6247685,34.45946,318050,NYSE,1784318403
WU,The Western Union Company,cashflow_value,1,28.84,8.88,2774423808,6.529412,4.647001,3.0494506,9.629631,8901653,NYSE,1784318569
BKE,"The Buckle, Inc.",cashflow_value,1,28.8,42.47,2187973376,9.740826,10.102428,4.685053,-13.238001,489551,NYSE,1784318402
YMM,Full Truck Alliance Co. Ltd.,fallen_profitable,1,28.77,9.14,9559473152,15.491527,10.679899,1.612639,-24.21227,8722817,NYSE,1784318402
